default,housing,loan,pdays,job,marital,education,contact,poutcome,age,balance,day,month,duration,campaign,previous,y
0,1,0,0,blue-collar,married,unknown,unknown,unknown,49,154,5,5,357,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,51,6530,5,5,91,1,0,0
0,0,0,0,retired,married,tertiary,unknown,unknown,60,100,5,5,528,1,0,0
0,1,0,0,management,divorced,tertiary,unknown,unknown,59,59,5,5,273,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,55,1205,5,5,158,2,0,0
0,1,1,0,blue-collar,single,secondary,unknown,unknown,35,12223,5,5,177,1,0,0
0,1,1,0,blue-collar,married,secondary,unknown,unknown,57,5935,5,5,258,1,0,0
0,1,1,0,services,married,secondary,unknown,unknown,31,25,5,5,172,1,0,0
0,1,1,0,management,married,secondary,unknown,unknown,54,282,5,5,154,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,55,23,5,5,291,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,43,1937,5,5,181,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,53,384,5,5,176,1,0,0
0,0,1,0,blue-collar,married,secondary,unknown,unknown,44,582,5,5,211,1,0,0
0,0,0,0,services,divorced,secondary,unknown,unknown,55,91,5,5,349,1,0,0
0,1,1,0,services,divorced,secondary,unknown,unknown,49,0,5,5,272,1,0,0
1,1,0,0,services,divorced,secondary,unknown,unknown,55,1,5,5,208,1,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,45,206,5,5,193,1,0,0
0,0,0,0,services,divorced,secondary,unknown,unknown,47,164,5,5,212,1,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,42,690,5,5,20,1,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,59,2343,5,5,1042,1,0,1
0,1,1,0,self-employed,married,tertiary,unknown,unknown,46,137,5,5,246,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,51,173,5,5,529,2,0,0
0,0,0,0,admin.,married,secondary,unknown,unknown,56,45,5,5,1467,1,0,1
0,1,0,0,technician,married,secondary,unknown,unknown,41,1270,5,5,1389,1,0,1
0,1,1,0,management,divorced,secondary,unknown,unknown,46,16,5,5,188,2,0,0
0,1,0,0,retired,married,secondary,unknown,unknown,57,486,5,5,180,2,0,0
0,0,0,0,management,single,secondary,unknown,unknown,42,50,5,5,48,1,0,0
0,1,1,0,technician,married,secondary,unknown,unknown,30,152,5,5,213,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,60,290,5,5,583,1,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,60,54,5,5,221,1,0,0
0,0,0,0,entrepreneur,divorced,secondary,unknown,unknown,57,-37,5,5,173,1,0,0
0,1,1,0,management,married,tertiary,unknown,unknown,36,101,5,5,426,1,0,0
0,0,0,0,blue-collar,married,secondary,unknown,unknown,55,383,5,5,287,1,0,0
0,1,0,0,retired,married,tertiary,unknown,unknown,60,81,5,5,101,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,39,0,5,5,203,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,46,229,5,5,197,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,44,-674,5,5,257,1,0,0
0,0,0,0,blue-collar,married,primary,unknown,unknown,53,90,5,5,124,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,52,128,5,5,229,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,59,179,5,5,55,3,0,0
0,1,0,0,technician,single,tertiary,unknown,unknown,27,0,5,5,400,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,44,54,5,5,197,1,0,0
0,1,0,0,technician,married,tertiary,unknown,unknown,47,151,5,5,190,1,0,0
0,0,1,0,admin.,married,secondary,unknown,unknown,34,61,5,5,21,1,0,0
0,1,0,0,retired,single,secondary,unknown,unknown,59,30,5,5,514,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,45,523,5,5,849,2,0,0
0,1,0,0,services,divorced,secondary,unknown,unknown,29,31,5,5,194,1,0,0
0,0,0,0,technician,divorced,secondary,unknown,unknown,46,79,5,5,144,1,0,0
0,1,1,0,self-employed,married,primary,unknown,unknown,56,-34,5,5,212,2,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,36,448,5,5,286,1,0,0
0,1,0,0,retired,divorced,primary,unknown,unknown,59,81,5,5,107,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,44,144,5,5,247,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,41,351,5,5,518,1,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,33,-67,5,5,364,1,0,0
0,0,0,0,management,divorced,tertiary,unknown,unknown,59,262,5,5,178,1,0,0
0,0,0,0,technician,married,primary,unknown,unknown,57,0,5,5,98,1,0,0
0,1,0,0,technician,divorced,unknown,unknown,unknown,56,56,5,5,439,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,51,26,5,5,79,1,0,0
0,1,0,0,admin.,married,unknown,unknown,unknown,34,3,5,5,120,3,0,0
0,1,1,0,services,married,secondary,unknown,unknown,43,41,5,5,127,2,0,0
0,0,1,0,technician,married,tertiary,unknown,unknown,52,7,5,5,175,1,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,33,105,5,5,262,2,0,0
0,1,1,0,admin.,single,secondary,unknown,unknown,29,818,5,5,61,1,0,0
0,1,1,0,services,married,secondary,unknown,unknown,34,-16,5,5,78,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,31,0,5,5,143,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,55,2476,5,5,579,1,0,1
0,0,0,0,management,married,unknown,unknown,unknown,55,1185,5,5,677,1,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,32,217,5,5,345,1,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,38,1685,5,5,185,1,0,0
0,1,1,0,admin.,single,secondary,unknown,unknown,55,802,5,5,100,2,0,0
0,1,0,0,unemployed,single,tertiary,unknown,unknown,28,0,5,5,125,2,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,23,94,5,5,193,1,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,32,0,5,5,136,1,0,0
0,0,0,0,services,single,unknown,unknown,unknown,43,0,5,5,73,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,32,517,5,5,528,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,46,265,5,5,541,1,0,0
0,1,0,0,housemaid,divorced,primary,unknown,unknown,53,947,5,5,163,1,0,0
0,1,0,0,self-employed,single,secondary,unknown,unknown,34,3,5,5,301,1,0,0
0,0,0,0,unemployed,married,tertiary,unknown,unknown,57,42,5,5,46,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,37,37,5,5,204,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,59,57,5,5,98,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,33,22,5,5,71,1,0,0
0,1,0,0,blue-collar,divorced,primary,unknown,unknown,56,8,5,5,157,2,0,0
0,1,0,0,unemployed,married,secondary,unknown,unknown,48,293,5,5,243,1,0,0
0,1,0,0,services,married,primary,unknown,unknown,43,3,5,5,186,2,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,54,348,5,5,579,2,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,51,-19,5,5,163,2,0,0
0,1,0,0,student,single,secondary,unknown,unknown,26,0,5,5,610,2,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,40,-4,5,5,2033,1,0,0
0,1,0,0,management,married,secondary,unknown,unknown,39,18,5,5,85,1,0,0
0,0,0,0,technician,married,primary,unknown,unknown,50,139,5,5,114,2,0,0
0,1,0,0,services,married,secondary,unknown,unknown,41,0,5,5,114,2,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,51,1883,5,5,57,1,0,0
0,1,0,0,retired,divorced,secondary,unknown,unknown,60,216,5,5,238,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,52,782,5,5,93,3,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,48,904,5,5,128,2,0,0
0,1,0,0,services,married,unknown,unknown,unknown,48,1705,5,5,107,1,0,0
0,1,0,0,technician,single,tertiary,unknown,unknown,39,47,5,5,181,1,0,0
0,1,0,0,services,single,secondary,unknown,unknown,47,176,5,5,303,2,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,40,1225,5,5,558,5,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,45,86,5,5,270,1,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,26,82,5,5,228,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,52,271,5,5,99,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,54,1378,5,5,240,1,0,0
0,0,0,0,admin.,married,tertiary,unknown,unknown,54,184,5,5,673,2,0,1
0,0,0,0,blue-collar,married,primary,unknown,unknown,50,0,5,5,233,3,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,35,0,5,5,1056,1,0,0
0,1,1,0,services,married,secondary,unknown,unknown,44,1357,5,5,250,1,0,0
0,1,0,0,entrepreneur,married,unknown,unknown,unknown,53,19,5,5,252,1,0,0
0,0,0,0,retired,single,primary,unknown,unknown,35,434,5,5,138,1,0,0
0,1,0,0,admin.,divorced,secondary,unknown,unknown,60,92,5,5,130,1,0,0
0,1,0,0,admin.,divorced,secondary,unknown,unknown,53,1151,5,5,412,1,0,0
0,1,0,0,unemployed,married,secondary,unknown,unknown,48,41,5,5,179,2,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,34,51,5,5,19,2,0,0
0,1,0,0,services,married,secondary,unknown,unknown,54,214,5,5,458,2,0,0
0,1,0,0,management,married,secondary,unknown,unknown,51,1161,5,5,717,1,0,0
0,1,0,0,services,married,tertiary,unknown,unknown,31,37,5,5,313,1,0,0
0,1,0,0,technician,divorced,secondary,unknown,unknown,35,787,5,5,683,2,0,0
0,1,0,0,services,married,secondary,unknown,unknown,35,59,5,5,1077,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,38,253,5,5,416,1,0,0
0,1,0,0,admin.,married,tertiary,unknown,unknown,36,211,5,5,146,2,0,0
0,1,0,0,retired,married,primary,unknown,unknown,58,235,5,5,167,1,0,0
0,1,0,0,services,divorced,unknown,unknown,unknown,40,4384,5,5,315,1,0,0
0,0,0,0,management,married,secondary,unknown,unknown,54,4080,5,5,140,1,0,0
0,1,1,0,blue-collar,single,secondary,unknown,unknown,34,53,5,5,346,1,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,31,0,5,5,562,1,0,0
0,1,0,0,retired,married,secondary,unknown,unknown,51,2127,5,5,172,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,33,377,5,5,217,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,55,73,5,5,142,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,42,445,5,5,67,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,34,243,5,5,291,1,0,0
0,1,0,0,blue-collar,single,secondary,unknown,unknown,33,307,5,5,309,2,0,0
0,1,0,0,services,married,secondary,unknown,unknown,38,155,5,5,248,1,0,0
0,0,1,0,technician,divorced,tertiary,unknown,unknown,50,173,5,5,98,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,43,400,5,5,256,1,0,0
0,1,0,0,blue-collar,divorced,primary,unknown,unknown,61,1428,5,5,82,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,47,219,5,5,577,1,0,0
0,1,0,0,self-employed,married,tertiary,unknown,unknown,48,7,5,5,286,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,44,575,5,5,477,1,0,0
0,1,0,0,student,single,unknown,unknown,unknown,35,298,5,5,611,2,0,0
0,1,0,0,services,married,secondary,unknown,unknown,35,0,5,5,471,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,50,5699,5,5,381,2,0,0
0,1,1,0,management,married,tertiary,unknown,unknown,41,176,5,5,42,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,41,517,5,5,251,1,0,0
0,1,0,0,services,single,unknown,unknown,unknown,39,257,5,5,408,1,0,0
0,1,0,0,retired,married,secondary,unknown,unknown,42,56,5,5,215,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,38,-390,5,5,287,1,0,0
0,1,0,0,retired,married,secondary,unknown,unknown,53,330,5,5,216,2,0,0
0,0,0,0,housemaid,divorced,primary,unknown,unknown,59,195,5,5,366,2,0,0
0,1,0,0,services,married,secondary,unknown,unknown,36,301,5,5,210,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,54,-41,5,5,288,1,0,0
0,1,0,0,technician,married,tertiary,unknown,unknown,40,483,5,5,168,1,0,0
0,0,0,0,unknown,married,unknown,unknown,unknown,47,28,5,5,338,2,0,0
0,0,0,0,unemployed,married,unknown,unknown,unknown,53,13,5,5,410,3,0,0
0,0,0,0,housemaid,married,primary,unknown,unknown,46,965,5,5,177,1,0,0
0,1,1,0,management,married,tertiary,unknown,unknown,39,378,5,5,127,2,0,0
0,1,0,0,unemployed,married,secondary,unknown,unknown,40,219,5,5,357,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,28,324,5,5,175,1,0,0
0,1,0,0,entrepreneur,divorced,secondary,unknown,unknown,35,-69,5,5,300,1,0,0
0,0,1,0,retired,married,secondary,unknown,unknown,55,0,5,5,136,1,0,0
0,1,0,0,technician,divorced,unknown,unknown,unknown,43,205,5,5,1419,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,48,278,5,5,125,2,0,0
0,1,0,0,management,married,unknown,unknown,unknown,58,1065,5,5,213,3,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,33,34,5,5,27,1,0,0
0,0,0,0,blue-collar,married,unknown,unknown,unknown,36,1033,5,5,238,2,0,0
0,1,0,0,services,divorced,secondary,unknown,unknown,53,1467,5,5,124,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,47,-12,5,5,18,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,31,388,5,5,730,2,0,0
0,1,0,0,entrepreneur,married,secondary,unknown,unknown,57,294,5,5,746,2,0,0
0,0,0,0,blue-collar,married,unknown,unknown,unknown,53,1827,5,5,121,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,55,627,5,5,247,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,45,25,5,5,40,1,0,0
0,1,0,0,admin.,divorced,secondary,unknown,unknown,53,315,5,5,181,2,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,37,0,5,5,79,1,0,0
0,1,0,0,admin.,divorced,secondary,unknown,unknown,44,66,5,5,206,1,0,0
0,1,1,0,blue-collar,divorced,primary,unknown,unknown,49,-9,5,5,389,1,0,0
0,1,1,0,technician,married,secondary,unknown,unknown,46,349,5,5,127,1,0,0
0,1,0,0,entrepreneur,married,unknown,unknown,unknown,43,100,5,5,702,1,0,0
0,0,0,0,admin.,married,secondary,unknown,unknown,38,0,5,5,151,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,43,434,5,5,117,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,49,3237,5,5,232,3,0,0
0,0,0,0,management,married,unknown,unknown,unknown,42,275,5,5,408,2,0,0
0,1,0,0,blue-collar,single,secondary,unknown,unknown,22,0,5,5,179,2,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,40,207,5,5,39,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,39,483,5,5,282,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,51,2248,5,5,714,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,49,428,5,5,50,1,0,0
0,1,1,0,blue-collar,married,secondary,unknown,unknown,53,0,5,5,181,1,0,0
0,1,0,0,services,single,secondary,unknown,unknown,34,0,5,5,142,1,0,0
0,1,0,0,technician,divorced,secondary,unknown,unknown,33,140,5,5,227,1,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,50,297,5,5,119,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,39,279,5,5,361,1,0,0
0,1,0,0,entrepreneur,divorced,secondary,unknown,unknown,59,901,5,5,73,3,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,30,2573,5,5,67,2,0,0
0,1,1,0,services,married,secondary,unknown,unknown,36,143,5,5,350,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,40,475,5,5,332,2,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,53,70,5,5,611,2,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,34,318,5,5,113,2,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,37,275,5,5,132,1,0,0
0,1,0,0,management,divorced,tertiary,unknown,unknown,42,742,5,5,58,3,0,0
0,1,0,0,entrepreneur,married,primary,unknown,unknown,41,236,5,5,151,1,0,0
0,1,0,0,student,single,tertiary,unknown,unknown,30,25,5,5,89,2,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,37,600,5,5,152,1,0,0
0,1,0,0,admin.,divorced,secondary,unknown,unknown,39,-349,5,5,611,2,0,0
0,1,1,0,blue-collar,married,primary,unknown,unknown,41,183,5,5,110,2,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,40,0,5,5,463,1,0,0
0,1,1,0,management,single,tertiary,unknown,unknown,42,0,5,5,562,2,0,1
0,1,0,0,blue-collar,divorced,primary,unknown,unknown,40,0,5,5,962,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,57,1078,5,5,10,4,0,0
0,0,0,0,entrepreneur,divorced,secondary,unknown,unknown,56,155,5,5,118,3,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,37,190,5,5,92,2,0,0
0,1,0,0,retired,married,secondary,unknown,unknown,59,319,5,5,143,3,0,0
0,1,0,0,services,divorced,secondary,unknown,unknown,39,-185,5,5,189,3,0,0
0,0,0,0,services,married,secondary,unknown,unknown,49,47,5,5,234,2,0,0
0,1,0,0,services,single,secondary,unknown,unknown,38,570,5,5,75,2,0,0
0,0,0,0,self-employed,married,tertiary,unknown,unknown,36,19,5,5,189,2,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,50,61,5,5,621,3,0,0
0,1,1,0,admin.,married,secondary,unknown,unknown,41,-62,5,5,55,2,0,0
0,0,0,0,technician,married,tertiary,unknown,unknown,54,258,5,5,310,4,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,58,76,5,5,156,2,0,0
0,1,0,0,blue-collar,single,secondary,unknown,unknown,30,0,5,5,5,2,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,33,352,5,5,225,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,47,368,5,5,125,2,0,0
0,1,0,0,technician,single,tertiary,unknown,unknown,50,339,5,5,2,3,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,32,1331,5,5,286,2,0,0
0,1,0,0,self-employed,married,secondary,unknown,unknown,40,672,5,5,164,2,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,37,58,5,5,98,2,0,0
0,1,0,0,technician,single,unknown,unknown,unknown,54,447,5,5,742,2,0,0
0,1,0,0,student,single,secondary,unknown,unknown,24,423,5,5,226,3,0,0
0,0,0,0,management,married,tertiary,unknown,unknown,54,0,5,5,120,2,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,34,19,5,5,362,4,0,0
0,1,0,0,technician,divorced,primary,unknown,unknown,56,13,5,5,357,2,0,0
0,1,0,0,blue-collar,single,secondary,unknown,unknown,31,3,5,5,200,2,0,0
0,1,0,0,student,single,secondary,unknown,unknown,24,82,5,5,204,2,0,0
0,1,0,0,blue-collar,divorced,primary,unknown,unknown,42,28,5,5,126,3,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,57,792,5,5,65,2,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,42,408,5,5,107,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,51,531,5,5,267,2,0,0
0,1,0,0,retired,married,secondary,unknown,unknown,57,211,5,5,248,2,0,0
0,1,0,0,services,single,secondary,unknown,unknown,36,62,5,5,215,2,0,0
0,1,0,0,services,married,unknown,unknown,unknown,53,257,5,5,209,2,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,50,1234,5,5,205,2,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,54,313,5,5,83,2,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,55,89,5,5,106,3,0,0
0,1,1,0,blue-collar,married,secondary,unknown,unknown,44,129,5,5,189,2,0,0
0,1,0,0,management,married,unknown,unknown,unknown,43,0,5,5,105,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,56,353,5,5,106,2,0,0
0,1,0,0,technician,married,unknown,unknown,unknown,54,851,5,5,108,2,0,0
0,1,1,0,services,divorced,primary,unknown,unknown,55,96,5,5,311,2,0,0
0,1,1,0,services,divorced,secondary,unknown,unknown,37,398,5,5,214,2,0,0
0,0,0,0,admin.,single,tertiary,unknown,unknown,33,193,5,5,132,2,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,46,-358,5,5,358,2,0,0
0,1,1,0,blue-collar,married,secondary,unknown,unknown,36,539,5,5,453,2,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,51,0,5,5,364,2,0,0
0,0,0,0,retired,single,primary,unknown,unknown,40,0,5,5,136,2,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,42,490,5,5,386,2,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,51,0,5,5,173,2,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,49,403,5,5,241,2,0,0
0,1,0,0,management,married,secondary,unknown,unknown,48,161,5,5,224,3,0,0
0,0,0,0,technician,divorced,tertiary,unknown,unknown,32,2558,5,5,148,2,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,31,98,5,5,196,2,0,0
0,0,0,0,management,single,tertiary,unknown,unknown,55,115,5,5,111,4,0,0
0,1,0,0,blue-collar,single,secondary,unknown,unknown,40,436,5,5,231,3,0,0
0,1,0,0,technician,married,tertiary,unknown,unknown,47,831,5,5,316,3,0,0
